id,nome,departamento,cargo,salario,admissao,idade
56,Raquel Tavares,TI,Coordenador,3053,2019-12-04,46
57,Samuel Duarte,RH,Coordenador,15906,2019-02-03,26
58,Tainá Furtado,Operações,Assistente,2830,2015-12-27,56
59,Vitor Hugo,Operações,Coordenador,4065,2024-07-07,60
60,Ana Souza,Finanças,Desenvolvedor,9465,2023-12-01,41
61,Bruno Lima,Finanças,Assistente,5820,2016-05-21,58
62,Carla Mendes,RH,Assistente,7271,2021-02-08,48
63,Diego Rocha,Operações,Desenvolvedor,10419,2019-12-18,54
64,Elisa Prado,TI,Assistente,2782,2022-12-13,45
65,Felipe Nunes,Operações,Analista,9909,2018-10-01,47
66,Gabriela Melo,TI,Assistente,8559,2022-10-04,41
67,Henrique Dias,Finanças,Coordenador,15765,2025-02-04,57
68,Isabela Castro,TI,Coordenador,16669,2022-10-08,27
69,João Pedro,TI,Assistente,12600,2022-09-24,58
70,Karen Alves,TI,Analista,15073,2022-05-14,41
71,Lucas Teixeira,Finanças,Coordenador,3098,2020-12-19,60
72,Mariana Farias,RH,Analista,6893,2018-09-26,53
73,Nicolas Reis,Operações,Assistente,7628,2025-04-11,51
74,Olivia Barros,RH,Gerente,11589,2016-02-14,26
75,Paulo Câmara,RH,Coordenador,14900,2015-03-17,29
76,Raquel Tavares,TI,Coordenador,9669,2016-01-14,53
77,Samuel Duarte,TI,Gerente,10482,2017-12-28,57
78,Tainá Furtado,RH,Assistente,2651,2019-02-14,40
79,Vitor Hugo,Finanças,Gerente,7781,2024-06-19,32
80,Ana Souza,TI,Desenvolvedor,11072,2025-04-26,61
81,Bruno Lima,Finanças,Gerente,12404,2019-08-15,35
82,Carla Mendes,Finanças,Coordenador,5190,2023-12-27,52
83,Diego Rocha,Vendas,Desenvolvedor,9320,2017-03-16,26
84,Elisa Prado,Vendas,Desenvolvedor,13992,2018-04-23,28
85,Felipe Nunes,Operações,Assistente,7923,2016-01-20,51
86,Gabriela Melo,Operações,Coordenador,3593,2020-11-18,36
87,Henrique Dias,Finanças,Analista,17702,2018-05-10,49
88,Isabela Castro,Operações,Desenvolvedor,8517,2024-07-09,57
89,João Pedro,Operações,Coordenador,3769,2024-03-04,35
90,Karen Alves,Finanças,Coordenador,6807,2024-02-05,55
91,Lucas Teixeira,Operações,Assistente,7909,2024-10-20,39
92,Mariana Farias,Operações,Assistente,5929,2017-01-26,36
93,Nicolas Reis,TI,Analista,17729,2024-03-05,32
94,Olivia Barros,RH,Analista,7797,2016-01-05,54
95,Paulo Câmara,RH,Assistente,13392,2022-06-10,54
96,Raquel Tavares,Vendas,Coordenador,11677,2021-07-25,46
97,Samuel Duarte,RH,Desenvolvedor,7607,2023-06-17,27
98,Tainá Furtado,Operações,Coordenador,5221,2025-05-23,31
99,Vitor Hugo,RH,Gerente,9735,2022-12-26,38
100,Ana Souza,Vendas,Gerente,17241,2021-11-12,33
101,Bruno Lima,Vendas,Desenvolvedor,16514,2022-11-12,49
102,Carla Mendes,TI,Gerente,11671,2018-07-12,33
103,Diego Rocha,Vendas,Coordenador,9743,2020-09-07,22
104,Elisa Prado,Operações,Desenvolvedor,7881,2016-06-09,54
105,Felipe Nunes,Vendas,Gerente,6973,2015-11-09,52
106,Gabriela Melo,RH,Analista,13895,2019-05-21,25
107,Henrique Dias,Operações,Analista,16642,2022-10-21,51
108,Isabela Castro,RH,Coordenador,10256,2025-09-26,28
109,João Pedro,Vendas,Desenvolvedor,2972,2024-12-05,33
110,Karen Alves,TI,Analista,9374,2016-01-15,62
111,Lucas Teixeira,Vendas,Desenvolvedor,4097,2023-05-28,34
112,Mariana Farias,Operações,Analista,7950,2025-06-23,32
113,Nicolas Reis,Operações,Desenvolvedor,10959,2015-11-13,48
114,Olivia Barros,Vendas,Analista,5661,2023-03-24,39
115,Paulo Câmara,Vendas,Coordenador,9764,2015-05-20,34
116,Raquel Tavares,Operações,Assistente,5333,2025-12-27,22
117,Samuel Duarte,Finanças,Desenvolvedor,11684,2020-02-11,51
118,Tainá Furtado,Operações,Analista,11776,2022-02-04,27
119,Vitor Hugo,TI,Analista,5541,2020-10-21,23
120,Ana Souza,TI,Analista,6063,2025-06-15,27
121,Bruno Lima,TI,Desenvolvedor,16218,2025-11-28,34
122,Carla Mendes,TI,Desenvolvedor,3373,2021-12-10,33
123,Diego Rocha,Finanças,Coordenador,11757,2020-07-08,34
124,Elisa Prado,Finanças,Coordenador,5401,2019-05-23,50
125,Felipe Nunes,Finanças,Analista,10526,2020-10-12,44
126,Gabriela Melo,Operações,Assistente,16090,2025-11-27,32
127,Henrique Dias,Vendas,Gerente,8818,2017-09-19,35
128,Isabela Castro,RH,Desenvolvedor,13084,2025-05-07,43
129,João Pedro,Operações,Gerente,16096,2019-02-17,35
130,Karen Alves,Finanças,Coordenador,10162,2019-01-04,55
131,Lucas Teixeira,TI,Assistente,4790,2022-10-11,45
132,Mariana Farias,Operações,Assistente,13285,2024-01-11,28
133,Nicolas Reis,Finanças,Analista,5100,2021-08-11,43
134,Olivia Barros,Vendas,Coordenador,17461,2020-05-06,51
135,Paulo Câmara,Operações,Coordenador,14821,2015-08-26,61
136,Raquel Tavares,RH,Gerente,11936,2021-12-13,52
137,Samuel Duarte,TI,Desenvolvedor,14351,2020-10-11,52
138,Tainá Furtado,RH,Desenvolvedor,3157,2018-09-04,48
139,Vitor Hugo,RH,Desenvolvedor,11961,2021-10-01,32
140,Ana Souza,Operações,Coordenador,17611,2019-10-23,55
141,Bruno Lima,TI,Gerente,14818,2017-03-22,43
142,Carla Mendes,Vendas,Analista,7567,2017-06-15,47
143,Diego Rocha,TI,Assistente,2513,2025-03-07,33
144,Elisa Prado,Finanças,Desenvolvedor,3816,2017-04-28,35
145,Felipe Nunes,RH,Analista,14364,2018-03-22,57
146,Gabriela Melo,Finanças,Analista,10320,2017-06-04,52
147,Henrique Dias,Operações,Assistente,13948,2018-08-22,46
148,Isabela Castro,RH,Coordenador,15001,2016-07-05,42
149,João Pedro,TI,Assistente,15169,2020-05-27,49
150,Karen Alves,Operações,Assistente,11250,2016-06-16,59
151,Lucas Teixeira,Vendas,Coordenador,17009,2024-03-25,37
152,Mariana Farias,Finanças,Desenvolvedor,8068,2023-01-20,60
153,Nicolas Reis,RH,Analista,13077,2018-03-16,34
154,Olivia Barros,Vendas,Coordenador,7446,2021-02-11,46
155,Paulo Câmara,TI,Assistente,4969,2019-05-13,52
156,Raquel Tavares,Vendas,Desenvolvedor,9409,2017-03-13,55
157,Samuel Duarte,Vendas,Assistente,15709,2016-06-22,28
158,Tainá Furtado,RH,Analista,5135,2020-03-19,54
159,Vitor Hugo,RH,Assistente,2689,2022-11-22,47
160,Ana Souza,RH,Analista,7463,2021-05-24,62
161,Bruno Lima,Vendas,Gerente,15723,2022-09-12,52
162,Carla Mendes,Finanças,Gerente,8477,2016-03-14,56
163,Diego Rocha,RH,Analista,4963,2015-06-23,59
164,Elisa Prado,Finanças,Coordenador,10936,2024-12-28,51
165,Felipe Nunes,RH,Analista,10114,2019-01-04,53
166,Gabriela Melo,RH,Desenvolvedor,3320,2024-11-12,38
167,Henrique Dias,RH,Desenvolvedor,13559,2019-01-18,39
168,Isabela Castro,TI,Desenvolvedor,8347,2021-01-15,42
169,João Pedro,Finanças,Analista,12261,2016-06-24,24
170,Karen Alves,Operações,Assistente,6573,2017-02-18,28
171,Lucas Teixeira,TI,Coordenador,12869,2022-07-09,44
172,Mariana Farias,RH,Gerente,6499,2023-10-15,24
173,Nicolas Reis,Vendas,Desenvolvedor,8607,2015-03-20,62
174,Olivia Barros,Vendas,Assistente,10898,2016-06-21,41
175,Paulo Câmara,RH,Assistente,2866,2017-12-09,27
176,Raquel Tavares,RH,Analista,15503,2018-10-09,41
177,Samuel Duarte,Operações,Gerente,11333,2018-12-26,25
178,Tainá Furtado,Finanças,Gerente,10248,2018-07-09,33
179,Vitor Hugo,Finanças,Gerente,13500,2015-10-13,33
180,Ana Souza,Finanças,Desenvolvedor,2582,2021-04-01,48
181,Bruno Lima,TI,Desenvolvedor,6875,2022-10-26,62
182,Carla Mendes,Finanças,Analista,6126,2018-01-23,42
183,Diego Rocha,TI,Analista,12516,2019-12-23,60
184,Elisa Prado,RH,Gerente,9393,2025-10-11,56
185,Felipe Nunes,RH,Assistente,17735,2023-01-11,43
186,Gabriela Melo,Finanças,Desenvolvedor,15977,2022-03-15,53
187,Henrique Dias,TI,Gerente,13931,2017-11-13,38
188,Isabela Castro,RH,Analista,13324,2024-02-21,53
189,João Pedro,Operações,Desenvolvedor,3861,2018-12-17,45
190,Karen Alves,Finanças,Desenvolvedor,14802,2020-08-22,51
191,Lucas Teixeira,Vendas,Coordenador,12737,2024-03-20,44
192,Mariana Farias,Operações,Assistente,9305,2015-05-18,53
193,Nicolas Reis,TI,Assistente,17592,2023-03-13,60
194,Olivia Barros,Vendas,Analista,8983,2018-04-04,58
195,Paulo Câmara,Finanças,Coordenador,16670,2017-12-13,57
196,Raquel Tavares,RH,Desenvolvedor,14808,2018-07-20,39
197,Samuel Duarte,Finanças,Desenvolvedor,12826,2016-11-22,62
198,Tainá Furtado,Finanças,Gerente,11275,2023-07-08,47
199,Vitor Hugo,RH,Assistente,7190,2022-03-28,33
200,Ana Souza,RH,Desenvolvedor,2554,2023-06-25,51
201,Bruno Lima,TI,Analista,8780,2024-11-14,48
202,Carla Mendes,RH,Coordenador,12927,2015-10-08,30
203,Diego Rocha,Operações,Gerente,10747,2016-10-19,48
204,Elisa Prado,Vendas,Desenvolvedor,12491,2018-03-19,62
205,Felipe Nunes,RH,Analista,8566,2015-12-20,46
206,Gabriela Melo,Operações,Gerente,16646,2018-03-15,45
207,Henrique Dias,TI,Coordenador,10236,2018-06-05,40
208,Isabela Castro,Vendas,Analista,5891,2024-08-15,37
209,João Pedro,Operações,Assistente,6463,2017-08-17,29
210,Karen Alves,Operações,Desenvolvedor,16788,2017-04-15,26
211,Lucas Teixeira,Vendas,Analista,13674,2025-07-28,55
212,Mariana Farias,RH,Assistente,3652,2021-05-23,56
213,Nicolas Reis,Vendas,Gerente,13101,2023-12-01,50
214,Olivia Barros,RH,Analista,7299,2021-12-25,24
215,Paulo Câmara,Finanças,Assistente,14241,2023-11-21,50
216,Raquel Tavares,RH,Analista,4197,2017-05-25,59
217,Samuel Duarte,Vendas,Coordenador,8504,2021-11-11,31
218,Tainá Furtado,TI,Assistente,5942,2019-02-11,26
219,Vitor Hugo,RH,Assistente,14829,2018-05-11,40
220,Ana Souza,RH,Desenvolvedor,15400,2022-12-09,58
221,Bruno Lima,Finanças,Gerente,3085,2017-03-17,40
222,Carla Mendes,Vendas,Coordenador,16920,2020-10-12,40
223,Diego Rocha,Finanças,Coordenador,11800,2025-05-16,50
224,Elisa Prado,Finanças,Coordenador,14685,2017-03-20,40
225,Felipe Nunes,RH,Desenvolvedor,12932,2018-01-28,35
226,Gabriela Melo,Operações,Desenvolvedor,4930,2024-01-09,45
227,Henrique Dias,Operações,Gerente,9149,2022-10-06,44
228,Isabela Castro,TI,Gerente,16469,2023-06-17,45
229,João Pedro,RH,Assistente,13123,2017-09-16,33
230,Karen Alves,RH,Assistente,2733,2025-02-11,36
231,Lucas Teixeira,Finanças,Coordenador,6175,2017-05-20,29
232,Mariana Farias,TI,Desenvolvedor,10672,2022-10-21,22
233,Nicolas Reis,Operações,Coordenador,14646,2018-06-22,24
234,Olivia Barros,RH,Analista,7898,2023-02-09,57
235,Paulo Câmara,Operações,Gerente,16796,2016-01-15,58
236,Raquel Tavares,Operações,Coordenador,6509,2019-12-06,37
237,Samuel Duarte,TI,Assistente,5407,2015-10-09,57
238,Tainá Furtado,Finanças,Analista,14675,2018-12-27,26
239,Vitor Hugo,TI,Gerente,7460,2015-04-08,37
240,Ana Souza,Operações,Gerente,10319,2022-02-18,25
241,Bruno Lima,Finanças,Analista,5718,2022-02-15,27
242,Carla Mendes,RH,Coordenador,4136,2023-10-07,60
243,Diego Rocha,RH,Desenvolvedor,11827,2015-10-14,29
244,Elisa Prado,RH,Coordenador,12149,2025-10-25,51
245,Felipe Nunes,Vendas,Desenvolvedor,14862,2021-10-09,53
246,Gabriela Melo,TI,Desenvolvedor,10811,2022-09-10,41
247,Henrique Dias,Finanças,Gerente,6579,2020-05-22,57
248,Isabela Castro,Operações,Desenvolvedor,12755,2022-02-25,33
249,João Pedro,RH,Analista,7729,2023-08-16,32
250,Karen Alves,TI,Analista,14959,2021-11-10,28
251,Lucas Teixeira,RH,Desenvolvedor,12951,2025-09-27,33
252,Mariana Farias,TI,Analista,14998,2018-04-10,54
253,Nicolas Reis,Finanças,Desenvolvedor,15057,2023-08-04,41
254,Olivia Barros,Operações,Coordenador,11855,2025-03-11,32
255,Paulo Câmara,TI,Assistente,15374,2017-03-20,32
256,Raquel Tavares,Finanças,Gerente,10262,2025-10-26,48
257,Samuel Duarte,Finanças,Coordenador,17783,2019-08-28,41
258,Tainá Furtado,Finanças,Coordenador,7517,2020-12-12,42
259,Vitor Hugo,RH,Desenvolvedor,9468,2024-07-25,48
260,Ana Souza,Vendas,Assistente,3406,2021-06-21,30
261,Bruno Lima,RH,Desenvolvedor,2819,2018-04-22,38
262,Carla Mendes,Finanças,Desenvolvedor,2887,2020-07-26,46
263,Diego Rocha,Finanças,Gerente,11674,2018-04-20,54
264,Elisa Prado,RH,Desenvolvedor,4250,2016-04-06,42
265,Felipe Nunes,RH,Gerente,10198,2015-11-13,53
266,Gabriela Melo,TI,Desenvolvedor,12440,2024-07-02,28
267,Henrique Dias,Vendas,Desenvolvedor,7022,2023-06-15,40
268,Isabela Castro,Vendas,Assistente,4700,2016-06-25,48
269,João Pedro,TI,Coordenador,12163,2019-10-07,57
270,Karen Alves,Vendas,Assistente,6517,2020-10-18,38
271,Lucas Teixeira,Operações,Gerente,15890,2019-12-01,30
272,Mariana Farias,Vendas,Desenvolvedor,16482,2020-08-24,35
273,Nicolas Reis,TI,Desenvolvedor,10173,2018-08-12,43
274,Olivia Barros,TI,Desenvolvedor,6683,2024-12-01,30
275,Paulo Câmara,Vendas,Assistente,9501,2021-08-26,25
276,Raquel Tavares,Operações,Analista,17458,2023-06-01,58
277,Samuel Duarte,RH,Analista,10761,2020-09-16,40
278,Tainá Furtado,Operações,Desenvolvedor,12893,2016-12-03,58
279,Vitor Hugo,Vendas,Gerente,15289,2016-09-06,54
280,Ana Souza,Vendas,Gerente,17614,2022-10-21,34
281,Bruno Lima,Vendas,Assistente,15898,2019-08-15,31
282,Carla Mendes,Finanças,Analista,5476,2025-10-11,51
283,Diego Rocha,Operações,Assistente,17071,2015-07-19,40
284,Elisa Prado,Vendas,Gerente,16069,2021-01-01,36
285,Felipe Nunes,Finanças,Assistente,4965,2019-04-19,42
286,Gabriela Melo,Operações,Assistente,13208,2025-04-25,58
287,Henrique Dias,Finanças,Gerente,5000,2018-03-07,41
288,Isabela Castro,TI,Analista,2929,2023-10-28,24
289,João Pedro,TI,Gerente,8210,2016-06-28,42
290,Karen Alves,TI,Coordenador,5804,2019-03-14,39
291,Lucas Teixeira,TI,Coordenador,15154,2020-01-05,50
292,Mariana Farias,Vendas,Assistente,2916,2022-12-28,35
293,Nicolas Reis,RH,Analista,9820,2022-07-07,35
294,Olivia Barros,RH,Gerente,15844,2016-02-06,54
295,Paulo Câmara,Operações,Gerente,4493,2017-04-04,53
296,Raquel Tavares,Operações,Desenvolvedor,14782,2020-07-07,35
297,Samuel Duarte,Vendas,Gerente,8395,2022-05-17,29
298,Tainá Furtado,RH,Analista,2618,2021-07-13,28
299,Vitor Hugo,Finanças,Desenvolvedor,17994,2019-02-14,41
300,Ana Souza,TI,Analista,13156,2025-07-16,23
