ra,aluno,disciplina,nota1,nota2,nota3,media,frequencia
2024097,Samuel Duarte,Redes,9.5,9.2,4.6,7.77,67
2024098,Tainá Furtado,Banco de Dados,7.0,4.5,2.2,4.57,71
2024099,Vitor Hugo,Programação,2.8,2.7,2.8,2.77,97
2024100,Ana Souza,Banco de Dados,2.8,9.9,2.2,4.97,86
2024101,Bruno Lima,Estatística,7.6,5.6,5.1,6.1,76
2024102,Carla Mendes,Programação,7.1,5.2,7.0,6.43,79
2024103,Diego Rocha,Estatística,8.5,9.5,7.6,8.53,70
2024104,Elisa Prado,Programação,10.0,9.1,7.3,8.8,76
2024105,Felipe Nunes,Banco de Dados,9.2,8.3,9.2,8.9,87
2024106,Gabriela Melo,Matemática,2.1,8.9,8.1,6.37,68
2024107,Henrique Dias,Matemática,4.6,4.7,8.9,6.07,76
2024108,Isabela Castro,Estatística,9.7,7.2,7.5,8.13,81
2024109,João Pedro,Banco de Dados,7.1,6.9,2.3,5.43,83
2024110,Karen Alves,Matemática,9.6,5.9,8.1,7.87,77
2024111,Lucas Teixeira,Programação,5.7,6.4,9.4,7.17,88
2024112,Mariana Farias,Matemática,9.3,7.3,8.6,8.4,68
2024113,Nicolas Reis,Matemática,9.9,4.3,7.4,7.2,78
2024114,Olivia Barros,Estatística,8.2,2.1,7.5,5.93,72
2024115,Paulo Câmara,Matemática,4.2,3.0,2.3,3.17,78
2024116,Raquel Tavares,Banco de Dados,2.4,6.9,9.8,6.37,83
2024117,Samuel Duarte,Matemática,2.6,4.4,6.9,4.63,71
2024118,Tainá Furtado,Programação,9.9,4.7,6.9,7.17,76
2024119,Vitor Hugo,Redes,4.9,8.1,3.9,5.63,88
2024120,Ana Souza,Redes,4.7,2.4,5.1,4.07,67
2024121,Bruno Lima,Matemática,5.3,5.9,9.5,6.9,65
2024122,Carla Mendes,Matemática,5.2,5.4,9.3,6.63,100
2024123,Diego Rocha,Matemática,2.6,5.1,5.5,4.4,81
2024124,Elisa Prado,Matemática,8.2,9.2,10.0,9.13,97
2024125,Felipe Nunes,Estatística,7.6,3.0,9.1,6.57,78
2024126,Gabriela Melo,Programação,6.6,4.3,6.6,5.83,88
2024127,Henrique Dias,Programação,2.2,5.1,5.7,4.33,75
2024128,Isabela Castro,Estatística,4.6,3.7,7.1,5.13,65
2024129,João Pedro,Matemática,5.9,9.9,4.5,6.77,73
2024130,Karen Alves,Banco de Dados,3.5,2.8,6.3,4.2,76
2024131,Lucas Teixeira,Redes,2.5,3.5,9.6,5.2,74
2024132,Mariana Farias,Programação,8.3,4.5,8.8,7.2,69
2024133,Nicolas Reis,Matemática,7.9,2.3,2.3,4.17,91
2024134,Olivia Barros,Matemática,4.8,2.0,8.1,4.97,99
2024135,Paulo Câmara,Redes,9.3,6.1,3.9,6.43,74
2024136,Raquel Tavares,Matemática,2.7,5.1,3.8,3.87,73
2024137,Samuel Duarte,Redes,9.4,4.3,7.4,7.03,94
2024138,Tainá Furtado,Estatística,8.0,10.0,6.5,8.17,99
2024139,Vitor Hugo,Banco de Dados,4.6,6.5,3.5,4.87,75
2024140,Ana Souza,Redes,7.9,8.2,4.5,6.87,90
2024141,Bruno Lima,Matemática,3.8,8.7,5.4,5.97,76
2024142,Carla Mendes,Matemática,9.1,3.1,5.0,5.73,98
2024143,Diego Rocha,Programação,2.6,5.7,5.7,4.67,66
2024144,Elisa Prado,Redes,3.0,9.3,2.9,5.07,87
2024145,Felipe Nunes,Programação,3.8,8.0,2.0,4.6,77
2024146,Gabriela Melo,Banco de Dados,7.6,3.3,7.2,6.03,75
2024147,Henrique Dias,Matemática,4.8,9.3,8.3,7.47,98
2024148,Isabela Castro,Redes,9.3,7.8,7.5,8.2,71
2024149,João Pedro,Banco de Dados,2.9,2.9,5.5,3.77,99
2024150,Karen Alves,Estatística,4.7,6.4,7.8,6.3,85
2024151,Lucas Teixeira,Redes,8.0,7.5,5.8,7.1,71
2024152,Mariana Farias,Banco de Dados,6.4,2.4,2.4,3.73,86
2024153,Nicolas Reis,Programação,5.8,8.1,7.6,7.17,78
2024154,Olivia Barros,Matemática,6.4,5.0,9.5,6.97,97
2024155,Paulo Câmara,Redes,5.8,3.4,6.1,5.1,86
2024156,Raquel Tavares,Estatística,8.9,7.3,10.0,8.73,73
2024157,Samuel Duarte,Programação,7.8,5.8,2.0,5.2,76
2024158,Tainá Furtado,Redes,3.7,4.4,3.0,3.7,79
2024159,Vitor Hugo,Programação,7.3,3.2,4.0,4.83,82
2024160,Ana Souza,Estatística,5.9,4.2,3.7,4.6,73
2024161,Bruno Lima,Redes,8.0,2.5,9.8,6.77,88
2024162,Carla Mendes,Redes,6.8,3.6,2.1,4.17,73
2024163,Diego Rocha,Matemática,3.0,7.1,9.8,6.63,82
2024164,Elisa Prado,Programação,3.8,3.0,7.7,4.83,96
2024165,Felipe Nunes,Estatística,8.8,3.0,9.0,6.93,80
2024166,Gabriela Melo,Estatística,7.7,2.3,8.2,6.07,73
2024167,Henrique Dias,Redes,2.7,4.7,2.4,3.27,81
2024168,Isabela Castro,Banco de Dados,3.6,7.5,8.6,6.57,87
2024169,João Pedro,Redes,3.8,8.6,5.7,6.03,87
2024170,Karen Alves,Banco de Dados,9.2,2.8,6.3,6.1,73
2024171,Lucas Teixeira,Matemática,7.5,7.2,9.9,8.2,70
2024172,Mariana Farias,Banco de Dados,7.5,8.5,9.8,8.6,69
2024173,Nicolas Reis,Banco de Dados,4.4,8.9,2.3,5.2,75
2024174,Olivia Barros,Redes,8.0,6.2,3.0,5.73,66
2024175,Paulo Câmara,Estatística,4.0,9.7,6.3,6.67,82
2024176,Raquel Tavares,Matemática,7.0,5.1,3.2,5.1,70
2024177,Samuel Duarte,Programação,9.5,5.4,2.1,5.67,68
2024178,Tainá Furtado,Estatística,5.2,9.1,9.8,8.03,91
2024179,Vitor Hugo,Banco de Dados,5.7,8.0,9.1,7.6,89
2024180,Ana Souza,Programação,7.6,9.4,2.7,6.57,97
2024181,Bruno Lima,Banco de Dados,4.9,2.5,6.6,4.67,81
2024182,Carla Mendes,Estatística,7.2,5.5,5.5,6.07,77
2024183,Diego Rocha,Estatística,6.8,3.5,3.8,4.7,91
2024184,Elisa Prado,Estatística,2.1,7.2,5.0,4.77,94
2024185,Felipe Nunes,Programação,3.0,3.4,3.1,3.17,72
2024186,Gabriela Melo,Matemática,4.4,3.2,3.7,3.77,91
2024187,Henrique Dias,Programação,9.4,7.9,9.5,8.93,100
2024188,Isabela Castro,Estatística,4.1,3.2,7.4,4.9,97
2024189,João Pedro,Matemática,6.3,5.9,9.9,7.37,71
2024190,Karen Alves,Redes,9.4,3.2,3.9,5.5,84
2024191,Lucas Teixeira,Matemática,7.3,6.6,5.0,6.3,79
2024192,Mariana Farias,Programação,6.5,8.4,9.1,8.0,83
2024193,Nicolas Reis,Banco de Dados,9.8,3.5,4.9,6.07,68
2024194,Olivia Barros,Estatística,6.3,3.8,4.1,4.73,77
2024195,Paulo Câmara,Matemática,8.5,3.9,2.6,5.0,88
2024196,Raquel Tavares,Redes,6.0,2.2,9.8,6.0,82
2024197,Samuel Duarte,Estatística,8.9,8.2,5.1,7.4,82
2024198,Tainá Furtado,Banco de Dados,4.6,5.6,6.7,5.63,82
2024199,Vitor Hugo,Estatística,9.6,4.9,3.9,6.13,88
2024200,Ana Souza,Redes,5.8,8.9,5.1,6.6,97
2024201,Bruno Lima,Banco de Dados,9.7,2.5,3.7,5.3,82
2024202,Carla Mendes,Programação,2.6,4.7,5.0,4.1,99
2024203,Diego Rocha,Matemática,6.6,9.4,9.5,8.5,84
2024204,Elisa Prado,Redes,2.7,4.7,8.1,5.17,74
2024205,Felipe Nunes,Estatística,8.3,5.0,5.1,6.13,84
2024206,Gabriela Melo,Banco de Dados,3.5,8.8,3.9,5.4,94
2024207,Henrique Dias,Estatística,3.1,4.9,7.7,5.23,72
2024208,Isabela Castro,Estatística,3.5,3.0,8.5,5.0,68
2024209,João Pedro,Estatística,7.2,6.7,4.0,5.97,75
2024210,Karen Alves,Banco de Dados,8.5,4.4,4.5,5.8,84
2024211,Lucas Teixeira,Programação,7.7,2.4,6.5,5.53,79
2024212,Mariana Farias,Banco de Dados,3.8,9.7,7.4,6.97,66
2024213,Nicolas Reis,Matemática,6.3,7.5,3.0,5.6,98
2024214,Olivia Barros,Estatística,9.4,3.1,3.0,5.17,88
2024215,Paulo Câmara,Redes,5.6,9.3,6.5,7.13,85
2024216,Raquel Tavares,Programação,3.7,8.5,7.3,6.5,76
2024217,Samuel Duarte,Banco de Dados,9.1,6.0,5.7,6.93,82
2024218,Tainá Furtado,Banco de Dados,2.4,6.0,7.1,5.17,75
2024219,Vitor Hugo,Matemática,7.5,5.3,4.7,5.83,74
2024220,Ana Souza,Programação,9.2,5.7,3.1,6.0,92
2024221,Bruno Lima,Banco de Dados,7.5,5.3,3.6,5.47,65
2024222,Carla Mendes,Matemática,4.2,2.5,8.6,5.1,87
2024223,Diego Rocha,Programação,8.5,9.5,2.5,6.83,88
2024224,Elisa Prado,Estatística,7.2,7.3,2.4,5.63,66
2024225,Felipe Nunes,Programação,5.9,7.5,7.8,7.07,69
2024226,Gabriela Melo,Estatística,3.5,5.7,8.8,6.0,77
2024227,Henrique Dias,Matemática,5.4,6.8,3.8,5.33,72
2024228,Isabela Castro,Programação,8.1,6.2,7.0,7.1,70
2024229,João Pedro,Banco de Dados,9.9,9.3,3.6,7.6,77
2024230,Karen Alves,Banco de Dados,7.0,4.8,3.2,5.0,90
2024231,Lucas Teixeira,Programação,9.3,2.2,7.2,6.23,96
2024232,Mariana Farias,Programação,4.8,7.8,9.7,7.43,87
2024233,Nicolas Reis,Programação,9.3,3.2,3.2,5.23,93
2024234,Olivia Barros,Programação,7.6,3.5,6.2,5.77,76
2024235,Paulo Câmara,Matemática,4.3,8.8,7.5,6.87,79
2024236,Raquel Tavares,Estatística,3.8,3.8,5.4,4.33,97
2024237,Samuel Duarte,Estatística,9.8,5.8,2.7,6.1,68
2024238,Tainá Furtado,Redes,9.8,2.4,3.5,5.23,96
2024239,Vitor Hugo,Matemática,8.1,8.5,8.6,8.4,77
2024240,Ana Souza,Banco de Dados,2.3,2.1,3.0,2.47,90
2024241,Bruno Lima,Matemática,4.8,8.8,8.6,7.4,100
2024242,Carla Mendes,Programação,9.1,6.5,6.5,7.37,76
2024243,Diego Rocha,Matemática,9.7,5.9,8.4,8.0,92
2024244,Elisa Prado,Estatística,6.3,4.1,5.2,5.2,77
2024245,Felipe Nunes,Estatística,5.5,4.1,3.2,4.27,78
2024246,Gabriela Melo,Programação,3.1,3.3,7.7,4.7,66
2024247,Henrique Dias,Matemática,8.0,4.3,10.0,7.43,87
2024248,Isabela Castro,Redes,9.9,8.9,6.5,8.43,76
2024249,João Pedro,Programação,7.9,4.8,2.5,5.07,76
2024250,Karen Alves,Redes,9.9,4.7,5.0,6.53,68
2024251,Lucas Teixeira,Banco de Dados,3.9,9.2,8.3,7.13,95
2024252,Mariana Farias,Programação,2.5,7.2,6.3,5.33,82
2024253,Nicolas Reis,Banco de Dados,7.5,5.9,2.8,5.4,80
2024254,Olivia Barros,Matemática,5.9,4.5,8.9,6.43,84
2024255,Paulo Câmara,Matemática,7.2,4.6,2.1,4.63,69
2024256,Raquel Tavares,Programação,8.2,3.4,7.3,6.3,97
2024257,Samuel Duarte,Estatística,7.3,3.8,8.6,6.57,95
2024258,Tainá Furtado,Estatística,5.1,4.5,4.2,4.6,95
2024259,Vitor Hugo,Matemática,4.9,4.0,2.6,3.83,76
2024260,Ana Souza,Matemática,4.9,5.4,7.8,6.03,69
2024261,Bruno Lima,Matemática,6.5,9.3,4.7,6.83,92
2024262,Carla Mendes,Estatística,2.1,9.5,2.7,4.77,89
2024263,Diego Rocha,Redes,9.9,6.7,5.6,7.4,96
2024264,Elisa Prado,Estatística,8.4,2.5,8.4,6.43,73
2024265,Felipe Nunes,Matemática,4.0,5.5,3.3,4.27,65
2024266,Gabriela Melo,Matemática,7.0,7.2,2.8,5.67,70
2024267,Henrique Dias,Programação,4.5,9.5,6.6,6.87,92
2024268,Isabela Castro,Redes,5.2,6.3,7.2,6.23,90
2024269,João Pedro,Matemática,6.5,6.2,3.7,5.47,75
2024270,Karen Alves,Banco de Dados,5.9,5.9,2.6,4.8,76
2024271,Lucas Teixeira,Programação,5.5,5.1,8.1,6.23,94
2024272,Mariana Farias,Estatística,7.6,9.7,6.3,7.87,95
2024273,Nicolas Reis,Redes,5.4,3.9,7.1,5.47,78
2024274,Olivia Barros,Redes,9.2,7.6,4.5,7.1,72
2024275,Paulo Câmara,Redes,2.7,8.2,4.6,5.17,77
2024276,Raquel Tavares,Matemática,9.6,7.4,8.3,8.43,86
2024277,Samuel Duarte,Programação,3.9,3.2,3.3,3.47,69
2024278,Tainá Furtado,Estatística,8.7,8.2,5.9,7.6,89
2024279,Vitor Hugo,Estatística,9.9,6.5,5.6,7.33,83
2024280,Ana Souza,Banco de Dados,2.1,2.4,3.1,2.53,100
2024281,Bruno Lima,Banco de Dados,5.2,4.5,7.3,5.67,92
2024282,Carla Mendes,Banco de Dados,5.2,6.6,6.7,6.17,84
2024283,Diego Rocha,Matemática,5.4,3.6,9.1,6.03,92
2024284,Elisa Prado,Matemática,4.1,4.6,2.2,3.63,80
2024285,Felipe Nunes,Estatística,4.5,3.8,3.6,3.97,89
2024286,Gabriela Melo,Estatística,6.5,6.9,9.7,7.7,93
2024287,Henrique Dias,Matemática,2.9,7.1,7.2,5.73,73
2024288,Isabela Castro,Redes,7.6,3.8,3.6,5.0,88
2024289,João Pedro,Redes,5.7,2.1,4.9,4.23,72
2024290,Karen Alves,Programação,6.2,5.7,7.4,6.43,92
2024291,Lucas Teixeira,Estatística,3.9,2.6,4.5,3.67,83
2024292,Mariana Farias,Redes,7.0,6.5,6.6,6.7,86
2024293,Nicolas Reis,Redes,5.1,9.4,5.3,6.6,92
2024294,Olivia Barros,Programação,4.4,4.6,4.1,4.37,83
2024295,Paulo Câmara,Programação,4.5,4.1,2.6,3.73,84
2024296,Raquel Tavares,Redes,3.0,6.6,6.8,5.47,80
2024297,Samuel Duarte,Redes,3.9,7.6,8.9,6.8,82
2024298,Tainá Furtado,Redes,5.6,3.8,9.0,6.13,91
2024299,Vitor Hugo,Estatística,2.1,8.1,8.7,6.3,100
2024300,Ana Souza,Programação,3.2,2.4,4.6,3.4,91
2024301,Bruno Lima,Programação,6.8,5.8,9.5,7.37,99
2024302,Carla Mendes,Redes,6.7,9.5,2.8,6.33,75
2024303,Diego Rocha,Matemática,9.7,10.0,8.1,9.27,93
2024304,Elisa Prado,Programação,2.5,3.4,8.9,4.93,67
2024305,Felipe Nunes,Banco de Dados,4.6,9.2,6.1,6.63,77
2024306,Gabriela Melo,Estatística,7.0,8.3,5.0,6.77,95
2024307,Henrique Dias,Redes,3.1,8.2,2.3,4.53,65
2024308,Isabela Castro,Matemática,4.4,6.5,8.8,6.57,89
2024309,João Pedro,Matemática,3.2,6.9,6.5,5.53,66
2024310,Karen Alves,Programação,9.2,9.0,2.9,7.03,72
2024311,Lucas Teixeira,Programação,7.9,5.7,8.9,7.5,87
2024312,Mariana Farias,Redes,7.7,5.1,4.6,5.8,86
2024313,Nicolas Reis,Banco de Dados,9.7,6.4,5.4,7.17,70
2024314,Olivia Barros,Redes,6.9,9.6,4.1,6.87,88
2024315,Paulo Câmara,Redes,4.4,4.1,4.6,4.37,89
2024316,Raquel Tavares,Programação,2.7,3.8,6.3,4.27,88
2024317,Samuel Duarte,Matemática,9.1,4.4,3.5,5.67,91
2024318,Tainá Furtado,Programação,9.5,7.9,2.3,6.57,80
2024319,Vitor Hugo,Programação,4.5,4.3,4.1,4.3,78
2024320,Ana Souza,Matemática,2.1,3.9,5.6,3.87,91
2024321,Bruno Lima,Redes,7.9,7.4,7.3,7.53,99
2024322,Carla Mendes,Matemática,2.3,8.3,9.9,6.83,85
2024323,Diego Rocha,Programação,6.6,4.2,8.0,6.27,68
2024324,Elisa Prado,Programação,9.1,7.2,7.2,7.83,96
2024325,Felipe Nunes,Banco de Dados,9.1,2.5,4.1,5.23,67
2024326,Gabriela Melo,Estatística,3.7,4.5,3.2,3.8,99
2024327,Henrique Dias,Estatística,9.6,3.3,8.5,7.13,82
2024328,Isabela Castro,Banco de Dados,5.1,3.4,8.0,5.5,75
2024329,João Pedro,Programação,3.6,6.2,3.2,4.33,79
2024330,Karen Alves,Matemática,3.1,3.1,5.2,3.8,71
2024331,Lucas Teixeira,Programação,3.6,2.1,2.2,2.63,77
2024332,Mariana Farias,Estatística,5.3,5.5,7.9,6.23,72
2024333,Nicolas Reis,Banco de Dados,8.3,4.9,8.5,7.23,93
2024334,Olivia Barros,Banco de Dados,3.1,5.8,6.9,5.27,85
2024335,Paulo Câmara,Programação,9.2,2.5,4.2,5.3,88
2024336,Raquel Tavares,Programação,2.4,9.5,3.4,5.1,79
2024337,Samuel Duarte,Redes,6.4,4.1,5.9,5.47,80
2024338,Tainá Furtado,Matemática,3.7,7.7,9.6,7.0,73
2024339,Vitor Hugo,Matemática,3.0,4.4,2.5,3.3,66
2024340,Ana Souza,Matemática,5.6,3.3,3.3,4.07,73
2024341,Bruno Lima,Estatística,2.4,5.0,5.5,4.3,91
2024342,Carla Mendes,Estatística,7.3,6.4,7.8,7.17,71
2024343,Diego Rocha,Banco de Dados,7.1,7.5,4.6,6.4,81
2024344,Elisa Prado,Banco de Dados,2.8,8.3,6.8,5.97,76
2024345,Felipe Nunes,Estatística,2.4,4.9,6.3,4.53,99
2024346,Gabriela Melo,Banco de Dados,3.2,7.4,7.0,5.87,86
2024347,Henrique Dias,Redes,9.0,2.5,3.2,4.9,67
2024348,Isabela Castro,Redes,8.3,4.7,5.2,6.07,99
2024349,João Pedro,Estatística,7.7,9.3,7.8,8.27,74
2024350,Karen Alves,Programação,5.9,7.0,5.6,6.17,69
2024351,Lucas Teixeira,Programação,2.8,2.7,9.8,5.1,72
2024352,Mariana Farias,Redes,5.7,6.1,3.9,5.23,87
2024353,Nicolas Reis,Redes,5.3,9.3,6.9,7.17,69
2024354,Olivia Barros,Banco de Dados,8.8,8.9,5.9,7.87,67
2024355,Paulo Câmara,Programação,6.8,4.8,6.7,6.1,81
2024356,Raquel Tavares,Estatística,3.4,4.5,9.1,5.67,72
2024357,Samuel Duarte,Banco de Dados,2.8,3.4,9.2,5.13,89
2024358,Tainá Furtado,Estatística,4.0,6.5,3.5,4.67,66
2024359,Vitor Hugo,Estatística,8.9,3.2,2.9,5.0,76
2024360,Ana Souza,Banco de Dados,7.4,7.5,4.1,6.33,89
2024361,Bruno Lima,Programação,9.3,7.9,2.0,6.4,99
2024362,Carla Mendes,Programação,3.6,4.3,4.4,4.1,66
2024363,Diego Rocha,Estatística,6.0,6.1,6.1,6.07,86
2024364,Elisa Prado,Matemática,4.2,2.2,3.3,3.23,88
2024365,Felipe Nunes,Redes,7.5,8.1,7.5,7.7,69
2024366,Gabriela Melo,Redes,8.1,4.5,8.3,6.97,93
2024367,Henrique Dias,Banco de Dados,4.1,7.6,3.5,5.07,92
2024368,Isabela Castro,Programação,3.3,9.0,7.9,6.73,91
2024369,João Pedro,Programação,4.1,5.6,6.0,5.23,85
2024370,Karen Alves,Programação,3.3,4.9,3.2,3.8,91
2024371,Lucas Teixeira,Matemática,9.1,4.8,2.7,5.53,73
2024372,Mariana Farias,Matemática,7.2,6.6,9.4,7.73,74
2024373,Nicolas Reis,Redes,4.3,2.6,9.4,5.43,91
2024374,Olivia Barros,Programação,2.3,6.7,4.5,4.5,90
2024375,Paulo Câmara,Programação,5.5,5.7,7.8,6.33,74
2024376,Raquel Tavares,Banco de Dados,3.4,7.0,4.4,4.93,76
2024377,Samuel Duarte,Matemática,5.5,2.6,7.3,5.13,97
2024378,Tainá Furtado,Matemática,7.2,6.4,2.8,5.47,78
2024379,Vitor Hugo,Matemática,3.8,6.3,8.8,6.3,67
2024380,Ana Souza,Estatística,6.6,8.8,3.8,6.4,75
2024381,Bruno Lima,Matemática,8.6,2.7,8.8,6.7,71
2024382,Carla Mendes,Programação,8.3,5.0,4.4,5.9,72
2024383,Diego Rocha,Estatística,6.3,9.0,6.3,7.2,99
2024384,Elisa Prado,Banco de Dados,9.9,4.4,2.1,5.47,72
2024385,Felipe Nunes,Redes,4.6,6.5,2.5,4.53,84
2024386,Gabriela Melo,Estatística,8.0,8.7,7.4,8.03,67
2024387,Henrique Dias,Banco de Dados,3.4,9.4,9.3,7.37,96
2024388,Isabela Castro,Banco de Dados,7.1,5.8,8.7,7.2,98
2024389,João Pedro,Estatística,8.2,9.7,7.1,8.33,83
2024390,Karen Alves,Banco de Dados,8.0,8.2,3.0,6.4,92
2024391,Lucas Teixeira,Programação,3.7,7.3,2.9,4.63,74
2024392,Mariana Farias,Banco de Dados,8.5,3.4,3.5,5.13,66
2024393,Nicolas Reis,Estatística,7.5,2.4,3.3,4.4,81
